"DateTime","Average","South Dish - Indoor A","South Dish A","South Dish B"
"2024-12-18 12:10:00",,10,24,16
"2024-12-18 12:20:00",,9,23,16
"2024-12-18 12:30:00",,11,26,15
"2024-12-18 12:40:00",,10,23,15
"2024-12-18 12:50:00",,10,22,14
"2024-12-18 13:00:00",,10,25,15
"2024-12-18 13:10:00",,11,25,14
"2024-12-18 13:20:00",,12,26,16
"2024-12-18 13:30:00",,14,54,35
"2024-12-18 13:40:00",,19,58,44
"2024-12-18 13:50:00",,20,61,46
"2024-12-18 14:00:00",,24,66,52
"2024-12-18 14:10:00",,23,64,49
"2024-12-18 14:20:00",,28,67,50
"2024-12-18 14:30:00",,32,68,53
"2024-12-18 14:40:00",,32,69,54
"2024-12-18 14:50:00",,33,63,48
"2024-12-18 15:00:00",,32,58,44
"2024-12-18 15:10:00",,33,58,43
"2024-12-18 15:20:00",,32,61,46
"2024-12-18 15:30:00",,34,58,42
"2024-12-18 15:40:00",,34,58,43
"2024-12-18 15:50:00",,31,54,38
"2024-12-18 16:00:00",,30,46,31
"2024-12-18 16:10:00",,27,42,27
"2024-12-18 16:20:00",,27,38,25
"2024-12-18 16:30:00",,27,39,25
"2024-12-18 16:40:00",,24,46,29
"2024-12-18 16:50:00",,26,51,35
"2024-12-18 17:00:00",,25,55,38
"2024-12-18 17:10:00",,24,54,39
"2024-12-18 17:20:00",,24,54,39
"2024-12-18 17:30:00",,23,54,38
"2024-12-18 17:40:00",,23,53,37
"2024-12-18 17:50:00",,22,54,37
"2024-12-18 18:00:00",,22,55,38
"2024-12-18 18:10:00",,23,53,37
"2024-12-18 18:20:00",,21,56,41
"2024-12-18 18:30:00",,24,56,40
"2024-12-18 18:40:00",,23,55,40
"2024-12-18 18:50:00",,25,54,40
"2024-12-18 19:00:00",,23,47,32
"2024-12-18 19:10:00",,23,41,29
"2024-12-18 19:20:00",,21,43,27
"2024-12-18 19:30:00",,23,42,28
"2024-12-18 19:40:00",,21,40,29
"2024-12-18 19:50:00",,21,41,27
"2024-12-18 20:00:00",,21,37,25
"2024-12-18 20:10:00",,19,35,23
"2024-12-18 20:20:00",,18,31,21
"2024-12-18 20:30:00",,18,30,19
"2024-12-18 20:40:00",,18,27,17
"2024-12-18 20:50:00",,16,25,16
"2024-12-18 21:00:00",,16,23,15
"2024-12-18 21:10:00",,16,21,14
"2024-12-18 21:20:00",,15,22,13
"2024-12-18 21:30:00",,14,21,12
"2024-12-18 21:40:00",,14,21,13
"2024-12-18 21:50:00",,13,20,11
"2024-12-18 22:00:00",,13,21,13
"2024-12-18 22:10:00",15.9,,19,12
