"DateTime","Average","South Dish - Indoor A"
"2024-12-20 07:10:00",,56
"2024-12-20 07:20:00",,55
"2024-12-20 07:30:00",,55
"2024-12-20 07:40:00",,54
"2024-12-20 07:50:00",,54
"2024-12-20 08:00:00",,52
"2024-12-20 08:10:00",,52
"2024-12-20 08:20:00",,50
"2024-12-20 08:30:00",,51
"2024-12-20 08:40:00",,48
"2024-12-20 08:50:00",,49
"2024-12-20 09:00:00",,50
"2024-12-20 09:10:00",,52
"2024-12-20 09:20:00",,50
"2024-12-20 09:30:00",,53
"2024-12-20 09:40:00",,59
"2024-12-20 09:50:00",,59
"2024-12-20 10:00:00",,57
"2024-12-20 10:10:00",,59
"2024-12-20 10:20:00",,56
"2024-12-20 10:30:00",,58
"2024-12-20 10:40:00",,59
"2024-12-20 10:50:00",,56
"2024-12-20 11:00:00",,60
"2024-12-20 11:10:00",,58
"2024-12-20 11:20:00",,55
"2024-12-20 11:30:00",,64
"2024-12-20 11:40:00",,66
"2024-12-20 11:50:00",,65
"2024-12-20 12:00:00",,65
"2024-12-20 12:10:00",,64
"2024-12-20 12:20:00",,66
"2024-12-20 12:30:00",,70
"2024-12-20 12:40:00",,74
"2024-12-20 12:50:00",,76
"2024-12-20 13:00:00",,74
"2024-12-20 13:10:00",,77
"2024-12-20 13:20:00",,74
"2024-12-20 13:30:00",,74
"2024-12-20 13:40:00",,73
"2024-12-20 13:50:00",,66
"2024-12-20 14:00:00",,66
"2024-12-20 14:10:00",,64
"2024-12-20 14:20:00",,61
"2024-12-20 14:30:00",,60
"2024-12-20 14:40:00",,59
"2024-12-20 14:50:00",,57
"2024-12-20 15:00:00",,57
"2024-12-20 15:10:00",,58
"2024-12-20 15:20:00",,59
"2024-12-20 15:30:00",,59
"2024-12-20 15:40:00",,57
"2024-12-20 15:50:00",,55
"2024-12-20 16:00:00",,57
"2024-12-20 16:10:00",,55
"2024-12-20 16:20:00",,57
"2024-12-20 16:30:00",,57
"2024-12-20 16:40:00",,54
"2024-12-20 16:50:00",,53
"2024-12-20 17:00:00",,53
"2024-12-20 17:10:00",,52
"2024-12-20 17:20:00",,53
"2024-12-20 17:30:00",,52
"2024-12-20 17:40:00",,52
"2024-12-20 17:50:00",,49
"2024-12-20 18:00:00",31.9,49
